id,firstname,lastname,email,homeaddress,homephone,cellphone,password,
1,Faizali,Mulla,faizali.mulla@justopensourceit.com,"33 N. Cynthia Avenua, Sunnywale, CA - 95112, USA.",18728772972,12928907927,5845154!32423vsdfvgv$%gh,
2,Sam,Jackson,sam.jackson@gmail.com,"11 W Alma, San Jose, CA - 95112, USA.",16894435522,18462252845,thecheesyguy,
3,Rocky,Hernandez,r.hernandezzz@gmail.com,"23 S 11th Street, San Jose, CA - 95112, USA.",12548946512,17292525625,rockstar,
4,Sangram,Patil,sangram.p@outlook.com,"12S Industrial Block, Binghamton, NY - 41034, USA.",12857245825,18694552645,pattya,
5,Rupali,Chavan,rupalichavan@justopensourceit.com,"54, Padam Plaza, Budhwar Peth, Kolhapur, MH - 412342, IN.",912405276845,916245345462,matoshrichaashirwad,
6,Arun,Rathod,arun.rathod@hotmail.com,"32, Seven Heavens Society, Mumbai, MH - 400010, IN.",919188688844,916451452415,sachapailwaan,
7,John,Wang,john.w@gmail.com,"33 S 11th Street, San Jose, CA - 95233, USA.",14256582450,17568546286,mystery@4535,
8,Alex,Bington,abington@outlook.com,"43 Chestnut Street, Plesanton, NY - 42221, USA.",16598245684,16845267445,kvhcwkae@p9824@mh,
9,Katlyn,Smith,katy.smith@gmail.com,"255 Sigma Ave, Boise, ID - 87771, USA.",18525592885,182456452446,guessWHoisQueen!iq209,
10,Anmol,Ratn,anmol_ratn@gmail.com,"43, Padam Plaza, Shanivar Peth, Karad, MH - 412286, IN.",918624536740,917864027646,veryunique@90234,
11,Maria,Smith,marie.sm@hotmail.com,"32 Chestnut St. Binghamton, NY - 43311, USA.",16825562536,17876788758,scgdc#xcgfd@gbfgf,
12,Binod,Sharma,binod.sharma@gmail.com,"43, Empirical Colony, Mumbai, MH - 400132",917682756253,917538052140,bvdghfjgn^&$$BJNGKHM,
13,Gloria,Chavez,gloriachavez@gmail.com,"88 N. 5th Street, San Jose, CA - 95112, USA.",16556202653,19372876529,ubbyuni@njkl,m
14,Sheldon,Cooper,bazinga@gmail.com,22 Walnut Ave Pasadena #207,14856424456,19266228265,pennyisafreeloader@67235,
15,Harvey,Spector,harvey.spector@pearsonspectorlitt.com,"Sunshine Apartments 2nd St. New York City, NY - 42332, USA.",18262678687,15426485622,vhjbfjgh@jjgk,
16,Jessica,D'cruz,theawesomejessica@hotmail.com,"67 S. William Street, San Jose, CA - 95113, USA.",14089826565,14086254462,canyoubelievethisguy,
17,Samantha,Williams,samantha.williams@gmail.com,"34 W. BigBrainApartments Chicago, Il - 82239, USA.",12846286288,16286266263,I@msm@rtasHell@234,
18,Dhanush,Varma,dhanush.varma@gmail.com,"99 San Fernando, San Jose, CA - 95112, USA.",16248642642,16328532433,bvdrtfbygjk@hjv k,
19,Alexandra,Willis,alex.willis@outlook.com,"34 S. 6th Street #105, Los Angeles, CA - 98221, USA.",19982467539,18622468246,aecrvsrtcrwceq,
20,Robert,Wick,thebuffedupbodybuilder@gmail.com,"443 E. Casino Plaza, Las Vegas, NV - 120027, USA.",17628779856,16782782672,iamsojacked!@67813,
